Day,StartTime,EndTime,Course,Group,Room
THURSDAY,15:00,15:50,Programming using C,EEE 1.2,D109
THURSDAY,10:00,11:40,Programming using C,EEE 1.2,Food Chemistry Lab
WEDNESDAY,13:20,15:00,Programming using C,EEE 1.2,Auto CAD Lab
TUESDAY,08:00,09:40,Programming using C,EEE 1.2,Auto CAD Lab
WEDNESDAY,11:50,13:20,Programming using C,EEE 1.2,Auto CAD Lab
TUESDAY,10:00,11:40,Programming using C,EEE 1.2,Auto CAD Lab
TUESDAY,11:50,13:20,Programming using C,EEE 1.2,Auto CAD Lab
SATURDAY,10:00,10:50,Programming using C,IT 1.2,D210
THURSDAY,11:50,13:20,Programming using C,IT 1.2,Isaac Asimov Laboratory
THURSDAY,13:20,15:00,Programming using C,IT 1.2,Medical Image Processing Lab
THURSDAY,08:00,09:40,Programming using C,IT 1.2,Electronics and Instrumentation
FRIDAY,08:00,09:40,Programming using C,IT 1.2,Medical Image Processing Lab
FRIDAY,13:20,15:00,Programming using C,IT 1.2,Medical Image Processing Lab
FRIDAY,11:50,13:20,Programming using C,IT 1.2,Electronics and Instrumentation
