Day,StartTime,EndTime,Course,Group,Room
FRIDAY,13:00,13:50,Basic Electrical and Electronics Engineering,AIDS 1.6,D709
WEDNESDAY,12:00,12:50,Basic Electrical and Electronics Engineering,AIDS 1.6,D310
THURSDAY,09:00,09:50,Basic Electrical and Electronics Engineering,AIDS 1.6,B422
SATURDAY,15:00,16:40,Basic Electrical and Electronics Engineering,AIDS 1.6,Basic Electronics Lab-1
TUESDAY,13:20,15:00,Basic Electrical and Electronics Engineering,AIDS 1.6,Basic Electronics Lab-1
THURSDAY,16:00,16:50,Basic Electrical and Electronics Engineering,CSE 1.5,B322
MONDAY,10:00,10:50,Basic Electrical and Electronics Engineering,CSE 1.5,D711
MONDAY,13:00,13:50,Basic Electrical and Electronics Engineering,CSE 1.5,B409
MONDAY,15:00,16:40,Basic Electrical and Electronics Engineering,CSE 1.5,Basic Electronics Lab-1
FRIDAY,14:00,14:50,Basic Electrical and Electronics Engineering,CSE 1.5,Basic Electronics Lab-1
